"id","pyoe_max","delta_max","second_delta_max","pyoe_min","delta_min","second_delta_min","pyoe_mean","delta_mean","second_delta_mean","pyoe","delta_first","second_delta_first","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","specialTeamsPlayType","specialTeamsResult","kickerId","returnerId","kickBlockerId","yardlineSide","yardlineNumber","gameClock","penaltyCodes","penaltyJerseyNumbers","penaltyYards","preSnapHomeScore","preSnapVisitorScore","passResult","kickLength","kickReturnYardage","playResult","absoluteYardlineNumber","displayName"
"2020091000--1524",0.318815917968749,12.472846031189,12.114405632019,-8.27718982696533,-4.56161546707153,-14.8219347000122,-4.17219728159905,-0.165389442443848,-0.00882216691970825,-2.81527320861817,12.472846031189,12.114405632019,2020091000,1524,"H.Butker kicks 66 yards from KC 35 to HOU -1. D.Carter to HOU 20 for 21 yards (M.Kemp).",2,0,0,"KC","Kickoff","Return",45046,42794,NA,"KC",35,8760,NA,NA,NA,14,7,NA,66,21,45,75,"DeAndre Carter"
"2020091000--2238",0.655858993530273,23.9540904164314,24.0826299786568,-18.6702157592773,-4.86953568458557,-24.8420355916023,-3.96767188622838,0.00166406376021249,0.00406598760968163,-2.96472518920898,23.9540904164314,24.0826299786568,2020091000,2238,"H.Butker kicks 66 yards from KC 35 to HOU -1. D.Carter to HOU 21 for 22 yards (D.O'Daniel; N.Keizer).",3,0,0,"KC","Kickoff","Return",45046,42794,NA,"KC",35,39180,NA,NA,NA,24,7,NA,66,22,44,75,"DeAndre Carter"
"2020091000--3435",5.11687480926514,5.33299350738525,5.59170055389404,-6.75437780380248,-2.80843734741211,-5.05461692810059,0.867809480707699,-0.0132809294031021,-0.0244182119978235,2.26478801727295,5.33299350738525,5.59170055389404,2020091000,3435,"(5:39) T.Townsend punts 54 yards to HOU 16, Center-J.Winchester. D.Carter pushed ob at HOU 35 for 19 yards (D.O'Daniel).",4,4,7,"KC","Punt","Return",52791,42794,NA,"KC",30,20340,NA,NA,NA,31,13,NA,54,19,35,40,"DeAndre Carter"
"2020091000--3649",22.9735175704956,7.99554038047791,8.31649243831635,-17.0160324859619,-6.57518100738525,-10.1856069564819,6.86859636669159,0.0319460487365723,-0.111127092838287,16.8676736831665,7.99554038047791,8.31649243831635,2020091000,3649,"K.Fairbairn kicks onside 13 yards from HOU 35 to HOU 48. A.Watts to HOU 20 for 28 yards (K.Crossen; J.Reid).",4,0,0,"HOU","Kickoff","Return",43846,46193,NA,"HOU",35,9480,NA,NA,NA,31,20,NA,13,28,-15,75,"Armani Watts"
"2020091300--1510",12.4165027999878,7.11217248439789,6.60847699642181,-0.373380124568939,-2.23220038414001,-8.26450765132904,6.70707462013813,-0.0146196798274392,-0.0146103020299945,5.32112564086914,7.11217248439789,6.60847699642181,2020091300,1510,"(7:03) S.Hofrichter punts 55 yards to SEA 8, Center-J.Harris. D.Moore to SEA 23 for 15 yards (O.Zaccheaus).",2,4,13,"ATL","Punt","Return",52636,45039,NA,"ATL",37,25380,NA,NA,NA,9,14,NA,55,15,40,47,"David Moore"
"2020091300--302",-0.130356316566466,22.706458568573,22.5751388072968,-6.01745223999023,-2.55645561218262,-23.4659781455994,-2.13643747410426,-0.00746330556770166,-0.00302111605803172,-6.01745223999023,22.706458568573,22.5751388072968,2020091300,302,"Y.Koo kicks 61 yards from ATL 35 to SEA 4. T.Homer to SEA 23 for 19 yards (J.Hawkins).",1,0,0,"ATL","Kickoff","Return",45576,47987,NA,"ATL",35,39960,NA,NA,NA,3,0,NA,61,19,42,75,"Travis Homer"
"2020091300--3806",5.1378396987915,21.182007856667,21.2466310486197,-2.45272312164307,-3.15734243392944,-20.7927008345723,0.840481384207562,0.0402108389066487,0.00463662968903053,0.660258636474609,21.182007856667,21.2466310486197,2020091300,3806,"Y.Koo kicks 60 yards from ATL 35 to SEA 5. T.Homer to SEA 29 for 24 yards (K.Smith).",4,0,0,"ATL","Kickoff","Return",45576,47987,NA,"ATL",35,34500,NA,NA,NA,18,31,NA,60,24,36,75,"Travis Homer"
"2020091301--2177",5.47786872863769,17.5658373832703,17.6289405822754,-1.08357417583466,-4.59874248504639,-18.9010157585144,2.94096972486708,-0.0975415256288317,0.00721597274144491,0.74121978759765,17.5658373832703,17.6289405822754,2020091301,2177,"A.Seibert kicks 64 yards from CLE 35 to BAL 1. D.Duvernay to BAL 27 for 26 yards (S.Redwine; J.Phillips). PENALTY on CLE-S.Redwine, Face Mask (15 Yards), 15 yards, enforced at BAL 27.",3,0,0,"CLE","Kickoff","Return",47953,52500,NA,"CLE",35,54000,"FMM","CLE 29",-15,24,6,NA,64,26,23,75,"Devin Duvernay"
"2020091301--2272",-9.00293182373046,10.3966121375561,10.2100228667259,-10.6444013977051,-0.795255661010742,-9.42541214823723,-9.692948290507,1.02658515175184,-0.0545782546202342,-9.98320140838622,10.3966121375561,10.2100228667259,2020091301,2272,"(13:31) S.Koch punts 49 yards to CLE 13, Center-M.Cox. J.Natson ran ob at CLE 14 for 1 yard.",3,4,14,"BAL","Punt","Return",31018,45150,NA,"BAL",38,48660,NA,NA,NA,24,6,NA,49,1,48,48,"JoJo Natson"
"2020091301--2590",4.98910434722901,10.9723440408707,12.147590637207,-3.51663742065429,-6.05006694793701,-11.4845291376114,1.41755626755602,-0.056951337000903,0.0345660763628343,2.54131050109864,10.9723440408707,12.147590637207,2020091301,2590,"(11:21) J.Gillan punts 37 yards to BAL 18, Center-C.Hughlett. J.Proche to BAL 35 for 17 yards (T.Davis). PENALTY on CLE-T.Thomas, Face Mask (15 Yards), 15 yards, enforced at BAL 35.",3,4,10,"CLE","Punt","Return",48139,52609,NA,"CLE",45,40860,"FMM","CLE 20",-15,24,6,NA,37,17,5,65,"James Proche"
